Participant,DoF,Contents,Codecs,Bitrates,Scores,Motion
14,1,3,8,3,5,0.327217125
14,1,4,2,1,2,0.37434555
14,1,2,6,4,3,0.320474777
14,1,3,2,2,3,0.221212121
14,1,4,3,2,1,0.248344371
14,1,3,2,4,4,0.136212625
14,1,1,3,1,1,0.326923077
14,1,3,6,3,3,0.147335423
14,1,2,6,3,3,0.212624585
14,1,3,3,1,1,0.235099338
14,1,4,6,1,2,0.250825083
14,1,2,8,4,4,0.265780731
14,1,4,2,2,3,0.235294118
14,1,1,3,4,3,0.331125828
14,1,4,6,4,3,0.394822006
14,1,1,8,1,2,0.323899371
14,1,2,2,1,3,0.571428571
14,1,1,4,1,2,0.258152174
14,1,2,8,1,2,0.29969419
14,1,1,8,4,4,0.509146341
14,1,2,4,3,3,0.562913907
14,1,4,3,3,3,0.660660661
14,1,3,4,3,2,0.392026578
14,1,1,4,2,2,0.218579235
14,1,3,4,2,2,0.391167192
14,1,2,3,4,4,0.395061728
14,1,1,8,2,3,0.248677249
14,1,4,2,3,3,0.413461538
14,1,3,2,3,5,0.329073482
14,1,1,4,4,4,0.482035928
14,1,4,8,1,2,0.495384615
15,1,3,2,3,4,0.499211356
15,1,1,2,1,3,0.583173996
15,1,3,4,3,3,0.537157757
15,1,2,8,1,2,0.581196581
15,1,3,8,3,3,0.629139073
15,1,2,2,1,3,0.37755102
15,1,1,4,1,2,0.42192691
15,1,2,8,4,4,0.345652174
15,1,1,4,3,4,0.603076923
15,1,4,8,3,4,0.382838284
15,1,1,3,4,4,0.369304556
15,1,4,3,2,1,0.528089888
15,1,3,2,2,3,0.531736527
